Source;Target;Type;Weight
137;75;Undirected;50
137;76;Undirected;50
137;80;Undirected;50
137;81;Undirected;50
137;83;Undirected;50
137;84;Undirected;50
137;85;Undirected;50
137;86;Undirected;50
137;88;Undirected;50
137;91;Undirected;50
137;93;Undirected;50
137;94;Undirected;50
137;98;Undirected;50
137;99;Undirected;50
137;100;Undirected;50
137;102;Undirected;50
137;103;Undirected;50
137;104;Undirected;50
137;105;Undirected;50
137;106;Undirected;50
137;107;Undirected;50
137;110;Undirected;50
137;112;Undirected;50
137;115;Undirected;50
137;116;Undirected;50
137;119;Undirected;50
137;120;Undirected;50
137;121;Undirected;50
137;125;Undirected;50
137;126;Undirected;50
137;128;Undirected;50
137;129;Undirected;50
137;131;Undirected;50
137;133;Undirected;50
137;134;Undirected;50
137;135;Undirected;50
137;136;Undirected;50
137;211;Undirected;50
138;137;Undirected;50
138;172;Undirected;50
139;81;Undirected;50
139;116;Undirected;50
139;131;Undirected;50
140;119;Undirected;50
141;100;Undirected;50
141;137;Undirected;50
142;10;Undirected;50
142;135;Undirected;50
142;137;Undirected;50
142;225;Undirected;50
143;71;Undirected;50
144;19;Undirected;50
145;19;Undirected;50
146;14;Undirected;50
146;71;Undirected;50
146;131;Undirected;50
147;137;Undirected;50
147;177;Undirected;50
148;137;Undirected;50
149;119;Undirected;50
150;51;Undirected;50
150;211;Undirected;50
150;216;Undirected;50
151;51;Undirected;50
152;51;Undirected;50
152;137;Undirected;50
153;2;Undirected;50
153;42;Undirected;50
153;51;Undirected;50
153;71;Undirected;50
153;81;Undirected;50
153;83;Undirected;50
153;85;Undirected;50
153;86;Undirected;50
153;96;Undirected;50
153;103;Undirected;50
153;131;Undirected;50
153;137;Undirected;50
153;230;Undirected;50
154;137;Undirected;50
155;1;Undirected;50
155;3;Undirected;50
155;5;Undirected;50
155;9;Undirected;50
155;10;Undirected;50
155;12;Undirected;50
155;20;Undirected;50
155;23;Undirected;50
155;26;Undirected;50
155;28;Undirected;50
155;29;Undirected;50
155;35;Undirected;50
155;36;Undirected;50
155;38;Undirected;50
155;42;Undirected;50
155;45;Undirected;50
155;49;Undirected;50
155;51;Undirected;50
155;60;Undirected;50
155;66;Undirected;50
155;70;Undirected;50
155;71;Undirected;50
155;76;Undirected;50
155;78;Undirected;50
155;81;Undirected;50
155;85;Undirected;50
155;88;Undirected;50
155;96;Undirected;50
155;98;Undirected;50
155;99;Undirected;50
155;104;Undirected;50
155;106;Undirected;50
155;107;Undirected;50
155;112;Undirected;50
155;119;Undirected;50
155;120;Undirected;50
155;121;Undirected;50
155;124;Undirected;50
155;128;Undirected;50
155;129;Undirected;50
155;131;Undirected;50
155;133;Undirected;50
155;135;Undirected;50
155;136;Undirected;50
155;137;Undirected;50
155;153;Undirected;50
156;81;Undirected;50
157;25;Undirected;50
158;42;Undirected;50
158;51;Undirected;50
158;54;Undirected;50
158;71;Undirected;50
158;81;Undirected;50
158;137;Undirected;50
158;155;Undirected;50
160;51;Undirected;50
160;71;Undirected;50
160;73;Undirected;50
160;88;Undirected;50
160;131;Undirected;50
160;137;Undirected;50
160;169;Undirected;50
161;71;Undirected;50
161;81;Undirected;50
162;40;Undirected;50
162;137;Undirected;50
163;71;Undirected;50
163;81;Undirected;50
164;21;Undirected;50
164;46;Undirected;50
164;51;Undirected;50
164;71;Undirected;50
164;81;Undirected;50
164;85;Undirected;50
164;88;Undirected;50
164;107;Undirected;50
164;119;Undirected;50
164;128;Undirected;50
164;131;Undirected;50
164;132;Undirected;50
164;133;Undirected;50
164;137;Undirected;50
164;155;Undirected;50
164;193;Undirected;50
164;196;Undirected;50
165;42;Undirected;50
165;51;Undirected;50
165;54;Undirected;50
165;81;Undirected;50
165;129;Undirected;50
165;137;Undirected;50
165;186;Undirected;50
165;216;Undirected;50
166;36;Undirected;50
166;42;Undirected;50
166;51;Undirected;50
166;71;Undirected;50
166;81;Undirected;50
166;85;Undirected;50
166;107;Undirected;50
166;155;Undirected;50
169;38;Undirected;50
169;42;Undirected;50
169;49;Undirected;50
169;51;Undirected;50
169;71;Undirected;50
169;81;Undirected;50
169;88;Undirected;50
169;97;Undirected;50
169;104;Undirected;50
169;107;Undirected;50
169;131;Undirected;50
169;137;Undirected;50
169;196;Undirected;50
170;42;Undirected;50
170;50;Undirected;50
170;51;Undirected;50
170;71;Undirected;50
170;81;Undirected;50
170;131;Undirected;50
170;137;Undirected;50
170;155;Undirected;50
170;160;Undirected;50
171;137;Undirected;50
172;20;Undirected;10
172;31;Undirected;10
172;42;Undirected;100
172;45;Undirected;100
172;50;Undirected;100
172;51;Undirected;100
172;71;Undirected;100
172;81;Undirected;100
172;87;Undirected;100
172;131;Undirected;100
172;137;Undirected;100
172;155;Undirected;100
172;220;Undirected;100
173;13;Undirected;100
173;42;Undirected;100
173;51;Undirected;100
173;56;Undirected;100
173;81;Undirected;100
173;87;Undirected;100
173;97;Undirected;100
173;110;Undirected;100
173;121;Undirected;100
173;131;Undirected;100
173;137;Undirected;100
173;155;Undirected;100
173;177;Undirected;100
173;208;Undirected;100
173;209;Undirected;100
174;24;Undirected;100
174;25;Undirected;100
174;42;Undirected;100
174;49;Undirected;100
174;61;Undirected;100
174;66;Undirected;100
174;70;Undirected;100
174;71;Undirected;100
174;81;Undirected;100
174;83;Undirected;100
174;104;Undirected;100
174;109;Undirected;100
174;119;Undirected;100
174;128;Undirected;100
174;136;Undirected;100
174;137;Undirected;100
174;155;Undirected;100
174;159;Undirected;100
174;161;Undirected;100
174;163;Undirected;100
174;168;Undirected;100
175;25;Undirected;100
176;3;Undirected;100
176;51;Undirected;100
176;106;Undirected;100
176;131;Undirected;100
176;137;Undirected;100
177;42;Undirected;100
177;51;Undirected;100
177;71;Undirected;100
177;81;Undirected;100
177;88;Undirected;100
177;107;Undirected;100
177;131;Undirected;100
177;137;Undirected;100
177;139;Undirected;100
177;155;Undirected;100
177;160;Undirected;100
177;176;Undirected;100
177;201;Undirected;100
178;119;Undirected;100
178;174;Undirected;100
179;81;Undirected;100
179;155;Undirected;100
180;36;Undirected;100
180;123;Undirected;100
180;131;Undirected;100
180;218;Undirected;100
181;71;Undirected;100
181;81;Undirected;100
181;131;Undirected;100
181;170;Undirected;100
181;172;Undirected;100
182;51;Undirected;100
182;94;Undirected;100
182;137;Undirected;100
183;51;Undirected;100
183;71;Undirected;100
183;129;Undirected;100
183;131;Undirected;100
183;172;Undirected;100
184;71;Undirected;100
184;81;Undirected;100
184;119;Undirected;100
184;174;Undirected;100
185;19;Undirected;100
186;42;Undirected;100
186;51;Undirected;100
186;81;Undirected;100
186;85;Undirected;100
186;87;Undirected;100
186;115;Undirected;100
186;131;Undirected;100
186;137;Undirected;100
186;155;Undirected;100
186;213;Undirected;100
187;31;Undirected;100
187;51;Undirected;100
187;81;Undirected;100
188;174;Undirected;100
189;119;Undirected;100
189;174;Undirected;100
190;11;Undirected;100
190;21;Undirected;100
190;22;Undirected;100
190;25;Undirected;100
190;42;Undirected;100
190;46;Undirected;100
190;50;Undirected;100
190;51;Undirected;100
190;71;Undirected;100
190;81;Undirected;10
190;85;Undirected;10
190;88;Undirected;10
190;107;Undirected;10
190;119;Undirected;10
190;131;Undirected;10
190;135;Undirected;10
190;137;Undirected;10
190;155;Undirected;10
190;174;Undirected;30
190;201;Undirected;30
191;71;Undirected;300
191;81;Undirected;300
191;121;Undirected;300
191;131;Undirected;300
191;172;Undirected;300
191;173;Undirected;300
192;51;Undirected;300
192;71;Undirected;300
192;81;Undirected;10
192;135;Undirected;10
192;137;Undirected;10
192;174;Undirected;10
193;10;Undirected;10
193;12;Undirected;1000
193;19;Undirected;1000
193;25;Undirected;10
193;45;Undirected;10
193;49;Undirected;10
193;51;Undirected;10
193;60;Undirected;10
193;64;Undirected;10
193;67;Undirected;10
193;69;Undirected;10
193;71;Undirected;10
193;72;Undirected;10
193;81;Undirected;10
193;83;Undirected;10
193;84;Undirected;10
193;91;Undirected;10
193;104;Undirected;10
193;112;Undirected;10
193;119;Undirected;10
193;128;Undirected;10
193;136;Undirected;10
193;137;Undirected;10
193;138;Undirected;10
193;149;Undirected;10
193;153;Undirected;10
193;155;Undirected;10
193;161;Undirected;10
193;163;Undirected;10
193;169;Undirected;10
193;173;Undirected;10
193;174;Undirected;10
193;177;Undirected;10
193;182;Undirected;10
193;184;Undirected;10
193;190;Undirected;10
193;192;Undirected;10
194;1;Undirected;10
194;51;Undirected;10
194;54;Undirected;10
194;71;Undirected;10
194;81;Undirected;10
194;131;Undirected;10
194;137;Undirected;10
194;155;Undirected;10
195;26;Undirected;10
195;42;Undirected;10
195;51;Undirected;10
195;71;Undirected;10
195;110;Undirected;10
195;116;Undirected;10
195;119;Undirected;10
195;137;Undirected;10
195;155;Undirected;10
195;174;Undirected;10
195;190;Undirected;10
195;193;Undirected;10
196;42;Undirected;10
196;51;Undirected;10
196;70;Undirected;10
196;71;Undirected;10
196;81;Undirected;10
196;85;Undirected;10
196;103;Undirected;10
196;110;Undirected;10
196;116;Undirected;10
196;119;Undirected;10
196;137;Undirected;10
196;147;Undirected;10
196;155;Undirected;10
196;174;Undirected;10
196;193;Undirected;10
197;119;Undirected;10
198;42;Undirected;10
198;51;Undirected;10
198;81;Undirected;10
198;155;Undirected;10
199;45;Undirected;10
199;51;Undirected;10
199;81;Undirected;10
199;131;Undirected;10
199;137;Undirected;10
199;153;Undirected;10
199;155;Undirected;10
200;51;Undirected;10
200;137;Undirected;10
200;222;Undirected;10
201;16;Undirected;10
201;18;Undirected;10
201;19;Undirected;10
201;24;Undirected;10
201;25;Undirected;10
201;42;Undirected;10
201;49;Undirected;10
201;51;Undirected;10
201;61;Undirected;10
201;64;Undirected;10
201;66;Undirected;10
201;67;Undirected;10
201;69;Undirected;10
201;70;Undirected;10
201;71;Undirected;10
201;72;Undirected;10
201;81;Undirected;10
201;84;Undirected;10
201;85;Undirected;10
201;91;Undirected;10
201;104;Undirected;10
201;117;Undirected;10
201;119;Undirected;10
201;128;Undirected;10
201;131;Undirected;10
201;136;Undirected;10
201;137;Undirected;10
201;138;Undirected;10
201;147;Undirected;10
201;149;Undirected;10
201;155;Undirected;10
201;157;Undirected;10
201;161;Undirected;10
201;163;Undirected;10
201;167;Undirected;10
201;174;Undirected;10
201;175;Undirected;10
201;184;Undirected;10
201;188;Undirected;10
201;189;Undirected;10
201;192;Undirected;10
201;193;Undirected;10
201;194;Undirected;10
201;195;Undirected;10
201;196;Undirected;10
202;114;Undirected;10
202;131;Undirected;10
203;80;Undirected;10
203;137;Undirected;10
203;148;Undirected;10
204;11;Undirected;10
204;42;Undirected;10
204;51;Undirected;10
204;71;Undirected;10
204;85;Undirected;10
204;110;Undirected;10
204;131;Undirected;10
204;137;Undirected;10
204;155;Undirected;10
204;169;Undirected;10
204;174;Undirected;10
204;190;Undirected;10
204;193;Undirected;10
204;201;Undirected;10
205;42;Undirected;10
205;51;Undirected;10
205;58;Undirected;10
205;81;Undirected;10
205;89;Undirected;10
205;137;Undirected;10
205;187;Undirected;10
206;42;Undirected;10
206;51;Undirected;10
206;70;Undirected;10
206;71;Undirected;10
206;81;Undirected;10
206;85;Undirected;10
206;88;Undirected;10
206;131;Undirected;10
206;137;Undirected;10
206;155;Undirected;10
206;174;Undirected;10
206;176;Undirected;10
207;25;Undirected;10
207;103;Undirected;10
207;137;Undirected;10
207;174;Undirected;10
207;193;Undirected;10
207;201;Undirected;10
208;29;Undirected;10
208;46;Undirected;10
208;51;Undirected;10
208;71;Undirected;10
208;131;Undirected;10
208;132;Undirected;10
208;137;Undirected;10
208;170;Undirected;10
209;11;Undirected;10
209;51;Undirected;10
209;150;Undirected;10
210;201;Undirected;10
211;51;Undirected;10
211;81;Undirected;10
211;85;Undirected;10
211;88;Undirected;10
211;112;Undirected;10
211;120;Undirected;10
211;155;Undirected;10
212;21;Undirected;10
212;42;Undirected;10
212;51;Undirected;10
212;85;Undirected;10
212;107;Undirected;10
212;135;Undirected;10
212;155;Undirected;10
213;45;Undirected;10
213;81;Undirected;10
213;112;Undirected;10
213;131;Undirected;10
213;153;Undirected;10
214;21;Undirected;10
214;42;Undirected;10
214;51;Undirected;10
214;71;Undirected;10
214;81;Undirected;10
214;85;Undirected;10
214;88;Undirected;10
214;92;Undirected;10
214;131;Undirected;10
214;137;Undirected;10
214;155;Undirected;10
215;51;Undirected;10
216;21;Undirected;10
216;51;Undirected;10
216;151;Undirected;10
217;174;Undirected;10
217;193;Undirected;10
217;201;Undirected;10
218;42;Undirected;10
218;51;Undirected;10
218;131;Undirected;10
218;146;Undirected;10
219;26;Undirected;10
219;60;Undirected;10
219;71;Undirected;10
219;81;Undirected;10
219;137;Undirected;10
219;155;Undirected;10
219;193;Undirected;10
220;35;Undirected;10
220;42;Undirected;10
220;51;Undirected;10
220;71;Undirected;10
220;131;Undirected;10
220;137;Undirected;10
220;155;Undirected;10
221;51;Undirected;10
222;32;Undirected;10
222;33;Undirected;10
222;42;Undirected;10
222;51;Undirected;10
223;201;Undirected;10
224;5;Undirected;10
224;38;Undirected;10
224;46;Undirected;10
224;51;Undirected;10
224;71;Undirected;10
224;75;Undirected;10
224;81;Undirected;10
224;85;Undirected;10
224;131;Undirected;10
224;137;Undirected;10
224;193;Undirected;10
225;94;Undirected;10
225;137;Undirected;10
226;137;Undirected;10
226;171;Undirected;10
227;51;Undirected;10
227;106;Undirected;10
227;137;Undirected;10
228;37;Undirected;10
228;51;Undirected;10
229;51;Undirected;10
229;131;Undirected;10
229;220;Undirected;10
230;42;Undirected;10
230;51;Undirected;10
230;71;Undirected;10
230;78;Undirected;10
230;131;Undirected;10
230;137;Undirected;10
230;155;Undirected;10
230;177;Undirected;10
231;81;Undirected;10
232;81;Undirected;10
233;201;Undirected;10
234;36;Undirected;10
234;137;Undirected;10
235;51;Undirected;10
235;165;Undirected;10
